|Исполнение|Тип накопителя|Назначение|Объем|Форм-фактор|Интерфейсы подключения|Объем буфера обмена|Частота вращения шпинделя|Кол-во пластин|Среднее время поиска|Потребляемая мощность при ожидании|Ударостойкость при работе|Уровень шума в режиме ожидания|Наработка на отказ|Гарантия производителя|Потребляемая мощность при работе|Уровень шума при чтении|Функции и возможности|Пыле-,влагозащита|Стандарт защиты MIL-STD-810|Источник питания (внешние)|Корпус|Размеры|Вес|Объем кеш-памяти NAND|Метод записи|Скорость передачи данных|Маркировка производителя|Гелиевый|Код EAN / UPS / GTIN|Чехол в комплекте
"A-Data DashDrive Classic HV620S USB 3.1 2.5"" AHV620S-1TU31-CBL AHV620S-1TU31-CBL"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1|||||||||3 года||||||USB порт|пластиковый|115x78x12 мм|152 г||||AHV620S-1TU31-CBK, AHV620S-1TU31-CBL, AHV620S-1TU31-CWH|||
Seagate SkyHawk ST8000VX004 ST8000VX004|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||7.06 Вт|||300 тыс. раз|3 года|8.73 Вт|||||||147x102x26 мм|716 г||CMR|210 МБ/с||||
Seagate SkyHawk ST3000VX009 ST3000VX009|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|5400 об/мин|||0.5 Вт|||300 тыс. раз|3 года|5.6 Вт|||||||147x102x26 мм|490 г||CMR|180 МБ/с||||
Seagate Exos X16 ST16000NM002G ST16000NM002G|встраиваемый|HDD|для сервера|16000 ГБ|"3.5 """|SAS / 12 Gb/s /|256 МБ|7200 об/мин|9 шт|4 мс|5 Вт|50 G||2.5 млн. ч|5 лет|10.2 Вт|||||||147x102x26 мм|670 г|||261 МБ/с||Есть||
Silicon Power Armor A66 SP040TBPHD66LS3K SP040TBPHD66LS3K|внешний|HDD|для ПК|4000 ГБ|"2.5 """|USB 3.2 gen1|||||||||3 года|||ударостойкий корпус|Есть|Есть|USB порт|прорезиненный|139x96xx24 мм|328 г||||SP040TBPHD66LS3B, SP040TBPHD66LS3K, SP040TBPHD66LS3Y|||
Seagate Exos 7E10 512e/4KN SATA ST6000NM019B ST6000NM019B|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA 3||7200 об/мин|||7.06 Вт|||2 млн. ч|5 лет|11.03 Вт|||||||147x102x26 мм|716 г|||250 МБ/с||||
Seagate SkyHawk ST8000VX0022 ST8000VX0022|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||0.6 Вт|||300 тыс. раз|3 года|9 Вт|||||||147x102x26 мм|780 г|||210 МБ/с|||0763649110850|
"Transcend StoreJet 25H3 2.5"" TS4TSJ25H3P TS4TSJ25H3P"|внешний|HDD|для ПК|4000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||3 года|||ударостойкий корпус, шифрование данных, кнопка резервного копирования||Есть|USB порт|прорезиненный|132x81x25 мм|308 г|||||||
WD Purple Pro WD101PURP 101PURP|встраиваемый|HDD|для ПК|10000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||||||3 года||||||||147x102x26 мм||||265 МБ/с||||
Seagate SkyHawk ST2000VX015 ST2000VX015|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|5900 об/мин||||||600 тыс. раз|3 года||||||||147x102x26 мм|415 г||SMR|180 МБ/с||||
"Toshiba Canvio Basics New 2.5"" HDTB440EK3CA HDTB440EK3CA"|внешний|HDD|для ПК|4000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||2 года||||||USB порт|пластиковый|119x70x20 мм||||||||
"WD Blue 2.5"" WD20SPZX 20SPZX"|встраиваемый|HDD|для ПК|2000 ГБ|"2.5 """|SATA, SATA 2, SATA 3|128 МБ|5400 об/мин|||0.5 Вт||23 дБ|600 тыс. раз|2 года|1.7 Вт|24 дБ||||||70x100x7 мм|90 г||SMR|149 МБ/с||||
"Silicon Power Armor A60 2.5"" SP040TBPHDA60S3K SP040TBPHDA60S3K"|внешний|HDD|для ПК|4000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус|Есть||USB порт|прорезиненный|139x86x23 мм|280 г|||||||
Seagate SkyHawk +Rescue ST2000VX017 ST2000VX017|встраиваемый|HDD|для ПК|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|5400 об/мин|||||||||||||||147x102x20 мм|415 г||CMR|180 МБ/с|ST2000VX016, ST2000VX017|||
Toshiba S300 HDWT360UZSVA HDWT360UZSVA|встраиваемый|HDD|для ПК|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||4 мс|5.59 Вт|70 G|34 дБ|600 тыс. раз|3 года|7.88 Вт|||||||147x102x26 мм|770 г|||||||
"Seagate Mobile HDD 2.5"" ST1000LM035 ST1000LM035"|встраиваемый|HDD|для ПК|1000 ГБ|"2.5 """|SATA, SATA 2, SATA 3|128 МБ|5400 об/мин||13 мс|0.45 Вт|400 G|20 дБ|600 тыс. раз|2 года|1.6 Вт|22 дБ||||||100x70x7 мм|90 г||||||9999708444203|
"Transcend StoreJet 25H3 2.5"" TS1TSJ25H3P TS1TSJ25H3P"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||3 года|||ударостойкий корпус, шифрование данных, кнопка резервного копирования||Есть|USB порт|прорезиненный|131x81x22 мм|216 г|||||||
